"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"bl_mean_arm1";"bl_sd_arm1";"bl_n_arm1";"bl_mean_arm2";"bl_sd_arm2";"bl_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"year";"time_weeks";"time";"comorbid_mental";"format";"format_details";"n_sessions_arm1";"country";"age_group";"mean_age";"percent_women";"recruitment";"target_group";"rob";"rob_domain1";"rob_domain2";"rob_domain3";"rob_domain4";"rob_domain5";".id";".g";".g_se";"notes";"full_ref"
"11";"Andersson, 2006";"cbt";"wlc";NA;NA;"msd";"SIAS";"self-report";27,3;13,4;32;33,9;12,6;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,4;16,1;32;44,8;12,8;32;"32";"32";"2";"0";2006;9;"post";"n";"Mixed/oth";"gsh + grp";"11";"Europe";"adul";"37.299999999999997";0,516;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Andersson_2006_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA";0,501288764041932;0,253991690394217;NA;"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 "
"12";"Andersson, 2006";"cbt";"wlc";NA;NA;"msd";"SPS";"self-report";20,7;14,8;32;31;15,9;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35,8;16,7;32;32,5;13,1;32;"32";"32";"2";"0";2006;9;"post";"n";"Mixed/oth";"gsh + grp";"11";"Europe";"adul";"37.299999999999997";0,516;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Andersson_2006_msd_SPS_post_NA_self-report_cbt_wlc_NA_NA";0,662434764232694;0,25693014621058;NA;"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 "
"13";"Andersson, 2006";"cbt";"wlc";NA;NA;"msd";"SPSQ";"self-report";20;8,5;32;28,9;7,9;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,4;8,7;32;30,2;7,6;32;"32";"32";"2";"0";2006;9;"post";"n";"Mixed/oth";"gsh + grp";"11";"Europe";"adul";"37.299999999999997";0,516;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Andersson_2006_msd_SPSQ_post_NA_self-report_cbt_wlc_NA_NA";1,07146643920964;0,267751697859267;NA;"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 "
"14";"Andersson, 2012";"cbt";"wlc";NA;NA;"msd";"BAI";"self-report";9,46;6,42;102;14;8,35;102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,73;7,98;102;16,47;9,14;102;"102";"102";"8";"2";2012;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"38.25";0,603;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Low";"Andersson_2012_msd_BAI_post_NA_self-report_cbt_wlc_NA_NA";0,607311404998645;0,143243115010572;NA;"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 "
"15";"Andersson, 2012";"cbt";"wlc";NA;NA;"msd";"LSAS-SR";"self-report";43,74;24,33;102;63,85;23,69;102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68,23;23,33;102;66,65;21,72;102;"102";"102";"8";"2";2012;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"38.25";0,603;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Low";"Andersson_2012_msd_LSAS-SR_post_NA_self-report_cbt_wlc_NA_NA";0,834379943586394;0,146037490403766;NA;"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 "
"16";"Andersson, 2012";"cbt";"wlc";NA;NA;"msd";"SIAS";"self-report";33,77;15,33;102;46,02;14,67;102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49,96;15,88;102;48,88;15,28;102;"102";"102";"8";"2";2012;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"38.25";0,603;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Low";"Andersson_2012_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA";0,813433903911313;0,145745394770462;NA;"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 "
"17";"Andersson, 2012";"cbt";"wlc";NA;NA;"msd";"SPS";"self-report";23,31;14,33;102;32,9;14,76;102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38,81;15,59;102;37,25;14,98;102;"102";"102";"8";"2";2012;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"38.25";0,603;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Low";"Andersson_2012_msd_SPS_post_NA_self-report_cbt_wlc_NA_NA";0,656810299447637;0,143781434560214;NA;"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 "
"18";"Andersson, 2012";"cbt";"wlc";NA;NA;"msd";"SPSQ";"self-report";18,93;10,42;102;26,76;9,65;102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,77;8,94;102;30,54;9,07;102;"102";"102";"8";"2";2012;9;"post";"n";"gsh";"gsh";"9";"Europe";"adul";"38.25";0,603;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Low";"Andersson_2012_msd_SPSQ_post_NA_self-report_cbt_wlc_NA_NA";0,776796945275809;0,145251008072898;NA;"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 "
"19";"Beidel, 2014";"Exposure";"wlc";"Exposure";"wlc";"msd";"BSPS";"cr";22,44;10,31;41;37,52;14,21;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43,46;11,39756;41;45,26;11,159;19;"41";"19";"16";"3";2014;12;"post";"n";"ind";"ind";"24";"North America";"adul";"36.414000000000001";0,5189;"oth";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Beidel_2014_msd_BSPS_post_NA_cr_Exposure_wlc_Exposure_wlc";1,27642900061022;0,301593647203787;NA;"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 "
"20";"Beidel, 2014";"Exposure";"wlc";"Exposure + SST";"wlc";"msd";"BSPS";"cr";17,07;8,82;46;37,52;14,21;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42,79;10,377;46;45,26;11,159;19;"46";"19";"16";"3";2014;12;"post";"n";"Mixed/oth";"ind + grp";"24";"North America";"adul";"36.414000000000001";0,5189;"oth";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Beidel_2014_msd_BSPS_post_NA_cr_Exposure_wlc_Exposure+SST_wlc";1,89860962065118;0,320584191846328;NA;"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 "
"21";"Beidel, 2014";"Exposure";"wlc";"Exposure";"wlc";"msd";"HAMA";"cr";6,89;4,74;41;12,92;6,49;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,27;7,684;41;18,42;5,492;19;"41";"19";"16";"3";2014;12;"post";"n";"ind";"ind";"24";"North America";"adul";"36.414000000000001";0,5189;"oth";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Beidel_2014_msd_HAMA_post_NA_cr_Exposure_wlc_Exposure_wlc";1,1135520178403;0,296021720041756;NA;"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 "
"22";"Beidel, 2014";"Exposure";"wlc";"Exposure + SST";"wlc";"msd";"HAMA";"cr";5,06;4,07;46;12,92;6,49;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,53;7,121;46;18,42;5,492;19;"46";"19";"16";"3";2014;12;"post";"n";"Mixed/oth";"ind + grp";"24";"North America";"adul";"36.414000000000001";0,5189;"oth";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Beidel_2014_msd_HAMA_post_NA_cr_Exposure_wlc_Exposure+SST_wlc";1,58967072999599;0,307054911373623;NA;"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 "
"23";"Beidel, 2014";"Exposure";"wlc";"Exposure";"wlc";"msd";"SPAI";"self-report";70,77;21,64;41;93,65;25,8;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;104,46;28,174;41;104,67;25,369;19;"41";"19";"16";"3";2014;12;"post";"n";"ind";"ind";"24";"North America";"adul";"36.414000000000001";0,5189;"oth";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Beidel_2014_msd_SPAI_post_NA_self-report_Exposure_wlc_Exposure_wlc";0,981366048167044;0,291993278935578;NA;"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 "
"24";"Beidel, 2014";"Exposure";"wlc";"Exposure + SST";"wlc";"msd";"SPAI";"self-report";67,6;18,18;46;93,65;25,8;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107,85;21,229;46;104,67;25,369;19;"46";"19";"16";"3";2014;12;"post";"n";"Mixed/oth";"ind + grp";"24";"North America";"adul";"36.414000000000001";0,5189;"oth";"adul";"High";"Some concerns";"Low";"High";"Low";"Some concerns";"Beidel_2014_msd_SPAI_post_NA_self-report_Exposure_wlc_Exposure+SST_wlc";1,24665647093458;0,294307171539947;NA;"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 "
"25";"Berger, 2009";"cbt";"wlc";NA;NA;"msd";"LSAS-SR";"self-report";52,7;21,9;31;70,7;17,2;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68,7;16,9;31;75;17,4;21;"31";"21";"3";"2";2009;10;"post";"n";"gsh";"gsh";"5";"Europe";"adul";"28.9";0,558;"com";"adul";"High";"Some concerns";"Low";"Some concerns";"Low";"Some concerns";"Berger_2009_msd_LSAS-SR_post_NA_self-report_cbt_wlc_NA_NA";0,879747286322846;0,295886035410225;NA;"Berger, T., Hohl, E., & Caspar, F. (2009). Internet-based treatment for social phobia: a randomized controlled trial. J Clin Psychol, 65(10), 1021-1035. https://doi.org/10.1002/jclp.20603 "
"26";"Berger, 2009";"cbt";"wlc";NA;NA;"msd";"SIAS";"self-report";34,1;12,9;31;44;10,1;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43,2;10,9;31;47,4;11,3;21;"31";"21";"3";"2";2009;10;"post";"n";"gsh";"gsh";"5";"Europe";"adul";"28.9";0,558;"com";"adul";"High";"Some concerns";"Low";"Some concerns";"Low";"Some concerns";"Berger_2009_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA";0,822182675357196;0,294240478900956;NA;"Berger, T., Hohl, E., & Caspar, F. (2009). Internet-based treatment for social phobia: a randomized controlled trial. J Clin Psychol, 65(10), 1021-1035. https://doi.org/10.1002/jclp.20603 "
"27";"Berger, 2009";"cbt";"wlc";NA;NA;"msd";"SPS";"self-report";23,5;13,2;31;30,3;10,8;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35,6;14,2;31;35,1;10,8;21;"31";"21";"3";"2";2009;10;"post";"n";"gsh";"gsh";"5";"Europe";"adul";"28.9";0,558;"com";"adul";"High";"Some concerns";"Low";"Some concerns";"Low";"Some concerns";"Berger_2009_msd_SPS_post_NA_self-report_cbt_wlc_NA_NA";0,54467320654347;0,28778062838863;NA;"Berger, T., Hohl, E., & Caspar, F. (2009). Internet-based treatment for social phobia: a randomized controlled trial. J Clin Psychol, 65(10), 1021-1035. https://doi.org/10.1002/jclp.20603 "
"28";"Blanco, 2010";"cbt";"other ctr";NA;NA;"msd";"ADIS";"cr";4,7;1,16;34;4,7;1,31;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,03;0,95;34;5,96;0,85;27;"40";"39";"18";"17";2010;12;"post";"n";"grp";"grp";"12";"North America";"adul";"31.85";0,459;"com";"adul";"High";"Some concerns";"Low";"Some concerns";"Low";"Some concerns";"Blanco_2010_msd_ADIS_post_NA_cr_cbt_otherctr_NA_NA";0;0,257776650887778;NA;"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 "
"29";"Blanco, 2010";"cbt";"other ctr";NA;NA;"msd";"FQ";"self-report";15,39;8,64;34;19,24;9,57;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,75;4,52;34;6,07;4,6;27;"40";"39";"18";"17";2010;12;"post";"n";"grp";"grp";"12";"North America";"adul";"31.85";0,459;"com";"adul";"High";"Some concerns";"Low";"Some concerns";"Low";"Some concerns";"Blanco_2010_msd_FQ_post_NA_self-report_cbt_otherctr_NA_NA";0,419445862111201;0,260630825224381;NA;"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 "
"30";"Blanco, 2010";"cbt";"other ctr";NA;NA;"msd";"LSAS";"cr";62,71;24,78;34;63,29;27,51;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77,12;27,34;34;75,96;24,8;27;"40";"39";"18";"17";2010;12;"post";"n";"grp";"grp";"12";"North America";"adul";"31.85";0,459;"com";"adul";"High";"Some concerns";"Low";"Some concerns";"Low";"Some concerns";"Blanco_2010_msd_LSAS_post_NA_cr_cbt_otherctr_NA_NA";0,0220073584965254;0,257784551405152;NA;"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 "
